,Player,Country,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
4,JJ Smit ,NAM,5,5,156,120,5,Mar-21,24,4.61,31.2,0,0
5,RS Sodhi ,INDIA,18,14,462,365,5,Feb-31,73,4.74,92.4,0,0
6,RD Steede ,BMUDA,8,8,312,257,5,Jan-21,51.4,4.94,62.4,0,0
7,Sunzamul Islam ,BDESH,3,3,150,79,5,Feb-22,15.8,3.16,30,0,0
8,Tanveer Ahmed ,HKG,6,6,229,208,5,Feb-49,41.6,5.44,45.8,0,0
9,MK Tiwary ,INDIA,12,6,132,150,5,Apr-61,30,6.81,26.4,1,0
10,GC Tonge ,WI,5,5,300,224,5,Apr-25,44.8,4.48,60,1,0
11,S Venkataraghavan ,INDIA,15,14,868,542,5,Feb-34,108.4,3.74,173.6,0,0
12,T Yohannan ,INDIA,3,3,120,122,5,Mar-33,24.4,6.1,24,0,0
13,Sultan Zarawani ,UAE,7,7,264,257,5,Feb-49,51.4,5.84,52.8,0,0
14,Aamer Hanif ,PAK,5,4,130,122,4,Mar-36,30.5,5.63,32.5,0,0
15,Afzaal Haider ,HKG,4,4,180,227,4,Jan-31,56.75,7.56,45,0,0
16,FA Allen ,WI,12,11,360,360,4,Feb-40,90,6,90,0,0
17,J Angel ,AUS,3,3,162,113,4,Feb-47,28.25,4.18,40.5,0,0
18,Ashfaq Ahmed ,UAE,16,7,223,185,4,Feb-55,46.25,4.97,55.7,0,0
19,Asim Butt ,SCOT,5,5,222,148,4,Feb-24,37,4,55.5,0,0
20,Azhar Ali ,PAK,53,14,258,260,4,Feb-26,65,6.04,64.5,0,0
21,Azhar Hossain ,BDESH,7,7,263,209,4,Jan-20,52.25,4.76,65.7,0,0
22,GR Beard ,AUS,2,2,112,70,4,Feb-20,17.5,3.75,28,0,0
23,DM Benkenstein ,SA,23,4,65,44,4,03-May,11,4.06,16.2,0,0
24,MJ Bennett ,AUS,8,8,408,275,4,Feb-27,68.75,4.04,102,0,0
25,Bilal Khan ,OMAN,4,4,222,151,4,Feb-32,37.75,4.08,55.5,0,0
26,JL Carter ,WI,33,12,136,160,4,Feb-14,40,7.05,34,0,0
27,NA David ,INDIA,4,4,192,133,4,Mar-21,33.25,4.15,48,0,0
28,AP Devcich ,NZ,12,11,324,291,4,Feb-33,72.75,5.38,81,0,0
29,R Dravid ,Asia/ICC/INDIA,344,8,186,170,4,Feb-43,42.5,5.48,46.5,0,0
30,CJ Drum ,NZ,5,5,216,261,4,Feb-31,65.25,7.25,54,0,0
31,Ehsan Adil ,PAK,6,6,225,223,4,Jan-31,55.75,5.94,56.2,0,0
32,AJ Finch ,AUS,119,19,266,239,4,01-Feb,59.75,5.39,66.5,0,0
33,N Gifford ,ENG,2,2,120,50,4,Apr-23,12.5,2.5,30,1,0
34,MW Goodwin ,ZIM,71,15,248,210,4,01-Dec,52.5,5.08,62,0,0
35,MJ Guptill ,NZ,179,11,109,98,4,02-Jun,24.5,5.39,27.2,0,0
36,R Illingworth ,ENG,3,2,130,84,4,Mar-50,21,3.87,32.5,0,0
37,Ilyas Gull ,HKG,2,2,114,113,4,Mar-46,28.25,5.94,28.5,0,0
38,Intikhab Alam ,PAK,4,4,158,118,4,Feb-36,29.5,4.48,39.5,0,0
39,MM Iqbal ,SCOT,13,8,270,270,4,Feb-35,67.5,6,67.5,0,0
40,KCB Jeremy ,WI,6,5,192,163,4,Feb-42,40.75,5.09,48,0,0
41,AH Jones ,NZ,87,11,306,216,4,Feb-42,54,4.23,76.5,0,0
42,Jubair Hossain ,BDESH,3,3,114,114,4,Feb-41,28.5,6,28.5,0,0
43,Junaid Siddiqui ,CAN,9,9,400,302,4,Jan-20,75.5,4.53,100,0,0
44,K Kamyuka ,CAN,2,2,47,47,4,Apr-38,11.75,6,11.7,1,0
45,E Katchay ,CAN,5,5,174,143,4,Mar-39,35.75,4.93,43.5,0,0
46,V Kohli ,INDIA,242,48,641,665,4,Jan-15,166.25,6.22,160.2,0,0
47,BC Lara ,ICC/WI,299,5,49,61,4,02-May,15.25,7.46,12.2,0,0
48,B Laughlin ,AUS,5,5,224,219,4,Jan-28,54.75,5.86,56,0,0
49,DV Lawrence ,ENG,1,1,66,67,4,Apr-67,16.75,6.09,16.5,1,0
0,OC McCoy ,WI,2,2,84,109,4,Feb-38,27.25,7.78,21,0,0
1,A McGrath ,ENG,14,7,228,175,4,Jan-13,43.75,4.6,57,0,0
2,LD Madushanka ,SL,4,4,144,172,4,Feb-70,43,7.16,36,0,0
3,T Maruma ,ZIM,21,9,225,230,4,Feb-50,57.5,6.13,56.2,0,0
4,Mehrab Hossain jnr ,BDESH,18,10,253,214,4,Feb-30,53.5,5.07,63.2,0,0
5,JP Millmow ,NZ,5,5,270,232,4,Feb-22,58,5.15,67.5,0,0
6,Mohammad Talha ,PAK,3,3,122,146,4,Feb-22,36.5,7.18,30.5,0,0
7,Mosharraf Hossain ,BDESH,5,5,198,147,4,Mar-24,36.75,4.45,49.5,0,0
8,AMN Munasinghe ,SL,5,5,217,146,4,Mar-30,36.5,4.03,54.2,0,0
9,Nizakat Khan ,HKG,20,6,145,119,4,01-Nov,29.75,4.92,36.2,0,0
10,G Onions ,ENG,4,4,204,185,4,Feb-58,46.25,5.44,51,0,0
11,SD Parry ,ENG,2,2,114,92,4,Mar-32,23,4.84,28.5,0,0
12,BJ Patel ,KENYA,31,8,165,163,4,Feb-20,40.75,5.92,41.2,0,0
13,D Paterson ,SA,4,4,209,217,4,Mar-44,54.25,6.22,52.2,0,0
14,MR Ramprakash ,ENG,18,5,132,108,4,Mar-28,27,4.9,33,0,0
15,B Regmi ,NEPAL,4,4,174,117,4,Feb-49,29.25,4.03,43.5,0,0
16,AM Salvi ,INDIA,4,4,172,120,4,Feb-15,30,4.18,43,0,0
17,JA Samarasekera ,UAE,7,7,294,236,4,Jan-17,59,4.81,73.5,0,0
18,Shaiman Anwar ,UAE,40,7,117,134,4,Mar-61,33.5,6.87,29.2,0,0
19,V Shankar ,INDIA,12,9,233,210,4,Feb-15,52.5,5.4,58.2,0,0
20,Sheikh Salahuddin ,BDESH,6,6,246,249,4,Feb-48,62.25,6.07,61.5,0,0
21,ED Solkar ,INDIA,7,6,252,169,4,Feb-31,42.25,4.02,63,0,0
22,BR Taylor ,NZ,2,2,114,62,4,Mar-25,15.5,3.26,28.5,0,0
23,DJ Terbrugge ,SA,4,4,126,105,4,Apr-20,26.25,5,31.5,1,0
24,ME Trescothick ,ENG,123,13,232,219,4,02-Jul,54.75,5.66,58,0,0
25,AJ Tudor ,ENG,3,3,127,136,4,Feb-30,34,6.42,31.7,0,0
26,RG Twose ,NZ,87,11,272,235,4,Feb-31,58.75,5.18,68,0,0
27,PS Vaidya ,INDIA,4,4,184,174,4,Feb-41,43.5,5.67,46,0,0
28,PA van Meekeren ,NL,5,5,210,161,4,Feb-30,40.25,4.6,52.5,0,0
29,LP van Troost ,NL,23,11,246,280,4,Feb-29,70,6.82,61.5,0,0
30,MDJ Walker ,NZ,3,3,132,119,4,Apr-49,29.75,5.4,33,1,0
31,HR Walsh ,USA/WI,5,5,160,160,4,Mar-36,40,6,40,0,0
32,KD Walters ,AUS,28,10,314,273,4,Feb-24,68.25,5.21,78.5,0,0
33,RJ Webb ,NZ,3,3,161,105,4,Feb-28,26.25,3.91,40.2,0,0
34,JW Wilson ,NZ,6,6,242,260,4,Feb-21,65,6.44,60.5,0,0
35,Yasir Arafat ,PAK,11,10,414,373,4,Jan-28,93.25,5.4,103.5,0,0
36,B Yograj Singh ,INDIA,6,5,244,186,4,Feb-44,46.5,4.57,61,0,0
37,Zaheer Maqsood ,UAE,2,2,120,116,4,Feb-56,29,5.8,30,0,0
38,Zulfiqar Ali ,EAf,3,3,210,166,4,Mar-63,41.5,4.74,52.5,0,0
39,Zulfiqar Babar ,PAK,5,5,294,246,4,Feb-52,61.5,5.02,73.5,0,0
40,NP Kenjige ,USA,4,4,156,129,3,Jan-26,43,4.96,52,0,0
41,Aamer Malik ,PAK,24,5,120,86,3,Feb-35,28.66,4.3,40,0,0
42,JS Ababu ,KENYA,9,8,288,255,3,Jan-26,85,5.31,96,0,0
43,Abu Hider ,BDESH,2,2,108,89,3,Feb-50,29.66,4.94,36,0,0
44,JP Agnew ,ENG,3,3,126,120,3,Mar-38,40,5.71,42,0,0
45,CR Amini ,PNG,2,2,108,79,3,Feb-33,26.33,4.38,36,0,0
46,HAG Anthony ,WI,3,3,156,143,3,Feb-47,47.66,5.5,52,0,0
47,Asghar Afghan ,AFG,111,7,139,91,3,01-Jan,30.33,3.92,46.3,0,0
48,AM Bacher ,SA,13,3,108,64,3,Feb-36,21.33,3.55,36,0,0
49,HK Badani ,INDIA,40,9,183,149,3,01-Jul,49.66,4.88,61,0,0
0,PJ Bakker ,NL,5,5,258,215,3,Feb-51,71.66,5,86,0,0
1,RL Bhudia ,KENYA,5,5,180,151,3,Feb-42,50.33,5.03,60,0,0
2,Bhupinder Singh snr ,INDIA,2,2,102,78,3,Mar-34,26,4.58,34,0,0
3,RJ Bright ,AUS,11,10,462,350,3,Jan-28,116.66,4.54,154,0,0
4,AJ Burger ,NAM,6,5,96,104,3,Jan-18,34.66,6.5,32,0,0
5,DK Butler ,WI,5,5,246,188,3,Jan-25,62.66,4.58,82,0,0
6,SJ Cameron ,SCOT,2,2,109,123,3,Feb-64,41,6.77,36.3,0,0
7,PE Cantrell ,NL,5,5,186,170,3,Jan-18,56.66,5.48,62,0,0
8,BS Chandrasekhar ,INDIA,1,1,56,36,3,Mar-36,12,3.85,18.6,0,0
9,U Chatterjee ,INDIA,3,3,161,117,3,Feb-35,39,4.36,53.6,0,0
10,WM Clark ,AUS,2,2,100,61,3,Feb-39,20.33,3.66,33.3,0,0
11,LA Dawson ,ENG,3,2,84,96,3,Feb-70,32,6.85,28,0,0
12,NA de Groot ,CAN,6,3,81,88,3,Feb-45,29.33,6.51,27,0,0
13,RL Dias ,SL,58,6,56,70,3,Mar-25,23.33,7.5,18.6,0,0
14,BL D'Oliveira ,ENG,4,4,204,140,3,Jan-19,46.66,4.11,68,0,0
15,KG Duers ,ZIM,6,6,300,256,3,Jan-17,85.33,5.12,100,0,0
16,Ehsanul Haque ,BDESH,6,3,141,113,3,Feb-34,37.66,4.8,47,0,0
17,Fawad Ahmed ,AUS,3,3,144,145,3,Jan-39,48.33,6.04,48,0,0
18,Fayyaz Butt ,OMAN,5,5,198,165,3,Feb-28,55,5,66,0,0
19,IS Gallage ,SL,3,3,144,115,3,Feb-42,38.33,4.79,48,0,0
20,JC Gamage ,SL,4,4,132,104,3,Feb-17,34.66,4.72,44,0,0
21,B Geeves ,AUS,2,2,90,78,3,02-Nov,26,5.2,30,0,0
22,RS Ghai ,INDIA,6,6,275,260,3,Jan-38,86.66,5.67,91.6,0,0
23,AP Grayson ,ENG,2,2,90,60,3,Mar-40,20,4,30,0,0
24,Haafiz Shahid ,PAK,3,3,127,112,3,Feb-56,37.33,5.29,42.3,0,0
25,GM Hamilton ,SCOT,38,6,220,160,3,Feb-36,53.33,4.36,73.3,0,0
26,PL Harris ,SA,3,3,180,83,3,Feb-30,27.66,2.76,60,0,0
27,Hasti Gul ,AFG,2,2,114,73,3,Feb-48,24.33,3.84,38,0,0
28,KC Hodsoll ,BMUDA,3,3,102,100,3,Feb-48,33.33,5.88,34,0,0
29,CK Hooper ,CAN,5,5,169,181,3,Jan-17,60.33,6.42,56.3,0,0
30,GP Howarth ,NZ,70,7,90,68,3,01-Apr,22.66,4.53,30,0,0
31,Inzamam-ul-Haq ,Asia/PAK,378,6,58,64,3,1/0,21.33,6.62,19.3,0,0
32,Iqbal Sikander ,PAK,4,4,210,147,3,Jan-30,49,4.2,70,0,0
33,SD Jack ,SA,2,2,108,86,3,Feb-41,28.66,4.77,36,0,0
34,GSNFG Jayasuriya ,SL,12,11,312,277,3,Jan-15,92.33,5.32,104,0,0
35,DM Jones ,AUS,164,8,106,81,3,Feb-34,27,4.58,35.3,0,0
36,Junaid Zia ,PAK,4,4,145,127,3,Mar-21,42.33,5.25,48.3,0,0
37,AI Kallicharran ,WI,31,4,105,64,3,02-Oct,21.33,3.65,35,0,0
38,Kamran Hussain ,PAK,2,2,102,67,3,Feb-32,22.33,3.94,34,0,0
39,Khalid Khan ,HKG,2,2,108,93,3,Feb-62,31,5.16,36,0,0
40,BL Kotze ,NAM,5,5,258,276,3,Feb-51,92,6.41,86,0,0
41,BP Kruger ,NL,5,5,184,131,3,Mar-21,43.66,4.27,61.3,0,0
42,DSK Madushanka ,SL,1,1,37,26,3,Mar-26,8.66,4.21,12.3,0,0
43,AK Markram ,SA,26,6,120,132,3,Feb-18,44,6.6,40,0,0
44,RAL Massie ,AUS,3,3,183,129,3,Feb-35,43,4.22,61,0,0
45,Mehmood Quaraishy ,EAf,3,2,108,94,3,Feb-55,31.33,5.22,36,0,0
46,JM Mennie ,AUS,2,2,120,131,3,Mar-49,43.66,6.55,40,0,0
47,PL Mhambrey ,INDIA,3,3,126,120,3,Feb-69,40,5.71,42,0,0
48,A Mithun ,INDIA,5,5,180,203,3,Feb-32,67.66,6.76,60,0,0
49,Mohammad Nazir ,PAK,4,4,222,156,3,Feb-37,52,4.21,74,0,0
0,GMC Mol ,NL,6,6,162,111,3,Feb-23,37,4.11,54,0,0
1,N M'shangwe ,ZIM,6,6,336,260,3,Feb-50,86.66,4.64,112,0,0
2,Najeeb Amar ,HKG,4,4,240,172,3,Feb-40,57.33,4.3,80,0,0
3,Nasir Aziz ,UAE,5,5,264,257,3,Jan-50,85.66,5.84,88,0,0
4,N Ncube ,ZIM,1,1,53,69,3,Mar-69,23,7.81,17.6,0,0
5,RG Nijman ,NL,1,1,49,31,3,Mar-31,10.33,3.79,16.3,0,0
6,D Olivier ,SA,2,2,114,124,3,Feb-73,41.33,6.52,38,0,0
7,A Patel ,CAN,2,2,60,73,3,Mar-41,24.33,7.3,20,0,0
8,Pervez Mir ,PAK,3,3,122,77,3,Jan-17,25.66,3.78,40.6,0,0
9,RT Ponting ,AUS/ICC,375,5,150,104,3,01-Dec,34.66,4.16,50,0,0
10,GD Porter ,AUS,2,2,108,33,3,Feb-13,11,1.83,36,0,0
11,R Powell ,WI,34,13,245,243,3,01-Jul,81,5.95,81.6,0,0
12,D Ramnarine ,WI,4,4,200,164,3,Feb-52,54.66,4.92,66.6,0,0
13,SK Ranasinghe ,SL,4,4,126,96,3,Jan-28,32,4.57,42,0,0
14,AT Rayudu ,INDIA,55,9,121,124,3,01-May,41.33,6.14,40.3,0,0
15,Sabbir Rahman ,BDESH,66,21,306,345,3,01-Dec,115,6.76,102,0,0
16,Saleem Raza ,UAE,6,6,192,179,3,Jan-17,59.66,5.59,64,0,0
17,GS Sandhu ,AUS,2,2,120,107,3,Feb-49,35.66,5.35,40,0,0
18,Sarandeep Singh ,INDIA,5,5,258,180,3,Feb-34,60,4.18,86,0,0
19,KF Semple ,WI,7,4,132,121,3,Feb-35,40.33,5.5,44,0,0
20,Shahid Saeed ,PAK,10,7,222,159,3,Feb-20,53,4.29,74,0,0
21,R Shepherd ,WI,3,3,110,101,3,Feb-32,33.66,5.5,36.6,0,0
22,L Siaka ,PNG,25,11,204,146,3,Feb-33,48.66,4.29,68,0,0
23,V Sibanda ,Afr/ZIM,127,11,267,265,3,01-Dec,88.33,5.95,89,0,0
24,D Soraine ,CAN,4,3,113,94,3,Feb-57,31.33,4.99,37.6,0,0
25,KR Stackpole ,AUS,6,2,77,54,3,Mar-40,18,4.2,25.6,0,0
26,LW Stott ,NZ,1,1,72,48,3,Mar-48,16,4,24,0,0
27,GP Sulzberger ,NZ,3,3,132,102,3,Jan-28,34,4.63,44,0,0
28,MR Swart ,NL,12,11,366,306,3,Jan-21,102,5.01,122,0,0
29,AR Tait ,NZ,5,5,120,88,3,Feb-37,29.33,4.4,40,0,0
30,HDRL Thirimanne ,SL,127,4,104,94,3,Feb-36,31.33,5.42,34.6,0,0
31,JG Thomas ,ENG,3,3,156,144,3,Feb-59,48,5.53,52,0,0
32,FJ Titmus ,ENG,2,1,56,53,3,Mar-53,17.66,5.67,18.6,0,0
33,MS Tshabalala ,SA,4,4,150,151,3,Jan-30,50.33,6.04,50,0,0
34,S Tyagi ,INDIA,4,4,165,144,3,Jan-15,48,5.23,55,0,0
35,JN Valentine ,CAN,3,3,114,66,3,Jan-18,22,3.47,38,0,0
36,Wajahatullah Wasti ,PAK,15,3,55,69,3,Mar-36,23,7.52,18.3,0,0
37,LJ Woodcock ,NZ,4,4,164,155,3,Feb-58,51.66,5.67,54.6,0,0
38,HN Ya France ,NAM,4,4,138,96,3,Feb-31,32,4.17,46,0,0
39,GN Yallop ,AUS,30,4,138,119,3,Feb-28,39.66,5.17,46,0,0
40,Younis Khan ,PAK,265,20,284,288,3,01-Mar,96,6.08,94.6,0,0
41,Zafar Iqbal ,PAK,8,7,198,137,3,Feb-37,45.66,4.15,66,0,0
42,Zahid Ahmed ,PAK,2,2,96,61,3,Feb-24,20.33,3.81,32,0,0
43,Aamer Yamin ,PAK,4,4,156,154,2,Jan-38,77,5.92,78,0,0
44,Aamir Kaleem ,OMAN,2,2,77,54,2,Feb-30,27,4.2,38.5,0,0
45,Abdullah Mazari ,AFG,2,2,96,49,2,Jan-18,24.5,3.06,48,0,0
46,Ahmed Shehzad ,PAK,81,9,115,140,2,Jan-22,70,7.3,57.5,0,0
47,Ali Asad ,UAE,2,2,120,73,2,Feb-35,36.5,3.65,60,0,0
48,DI Allan ,KENYA,5,4,112,80,2,Jan-22,40,4.28,56,0,0
49,GJAF Aponso ,NL,5,5,242,257,2,Jan-57,128.5,6.37,121,0,0
0,Asad Ali ,PAK,4,4,180,115,2,Jan-22,57.5,3.83,90,0,0
1,SV Bahutule ,INDIA,8,7,294,283,2,Jan-31,141.5,5.77,147,0,0
2,A Balbirnie ,IRE,64,3,60,68,2,Jan-26,34,6.8,30,0,0
3,MRCN Bandaratilleke ,SL,3,3,144,111,2,Feb-34,55.5,4.62,72,0,0
4,MD Bates ,NZ,2,2,84,52,2,Jan-24,26,3.71,42,0,0
5,S Bau ,PNG,21,6,180,124,2,Feb-35,62,4.13,90,0,0
6,LS Bhandari ,NEPAL,1,1,54,43,2,Feb-43,21.5,4.77,27,0,0
7,DR Briggs ,ENG,1,1,60,39,2,Feb-39,19.5,3.9,30,0,0
8,JE Brinkley ,SCOT,5,3,168,117,2,Jan-29,58.5,4.17,84,0,0
9,BS Browne ,WI,4,4,180,156,2,Feb-50,78,5.2,90,0,0
10,PH Carlson ,AUS,4,3,168,70,2,Jan-21,35,2.5,84,0,0
11,DL Chahar ,INDIA,3,3,126,129,2,Jan-37,64.5,6.14,63,0,0
12,IM Chappell ,AUS,16,2,42,23,2,Feb-14,11.5,3.28,21,0,0
13,GA Cope ,ENG,2,2,112,35,2,Jan-16,17.5,1.87,56,0,0
14,CS Cowdrey ,ENG,3,2,52,55,2,01-Mar,27.5,6.34,26,0,0
15,DJ Cullen ,AUS,5,5,213,147,2,Feb-25,73.5,4.14,106.5,0,0
16,SM Curran ,ENG,2,2,72,90,2,Feb-44,45,7.5,36,0,0
17,DDP D'Silva ,UAE,3,2,102,71,2,Feb-20,35.5,4.17,51,0,0
18,D Daesrath ,CAN,4,2,72,48,2,Jan-13,24,4,36,0,0
19,RR David ,CAN,4,4,96,74,2,Feb-30,37,4.62,48,0,0
20,DLS de Silva ,SL,2,2,120,54,2,Feb-36,27,2.7,60,0,0
21,BR Dorey ,AUS,4,4,162,146,2,01-Dec,73,5.4,81,0,0
22,F du Plessis ,SA,143,11,192,189,2,01-Aug,94.5,5.9,96,0,0
23,CE Eksteen ,SA,6,6,222,181,2,Jan-26,90.5,4.89,111,0,0
24,D Elgar ,SA,8,4,96,67,2,01-Nov,33.5,4.18,48,0,0
25,KADM Fernando ,SL,1,1,42,13,2,Feb-13,6.5,1.85,21,0,0
26,MLC Foster ,WI,2,1,30,22,2,Feb-22,11,4.4,15,0,0
27,RC Fredericks ,WI,12,1,10,10,2,02-Oct,5,6,5,0,0
28,D Gamage ,SL,3,3,95,83,2,Jan-26,41.5,5.24,47.5,0,0
29,WCA Ganegama ,SL,4,3,66,88,2,Feb-27,44,8,33,0,0
30,Gazi Ashraf ,BDESH,7,3,51,33,2,01-Jul,16.5,3.88,25.5,0,0
31,LR Gibbs ,WI,3,3,156,59,2,01-Dec,29.5,2.26,78,0,0
32,Golam Faruq ,BDESH,5,5,186,116,2,Jan-22,58,3.74,93,0,0
33,MS Gony ,INDIA,2,2,78,76,2,Feb-65,38,5.84,39,0,0
34,TR Gripper ,ZIM,8,6,120,76,2,Feb-28,38,3.8,60,0,0
35,TGJ Gruijters ,NL,5,4,120,79,2,Feb-37,39.5,3.95,60,0,0
36,Hammad Azam ,PAK,11,8,198,169,2,Jan-21,84.5,5.12,99,0,0
37,SM Harwood ,AUS,1,1,60,57,2,Feb-57,28.5,5.7,30,0,0
38,R Hekure ,PNG,1,1,60,32,2,Feb-32,16,3.2,30,0,0
39,CC Henry ,CAN,2,2,90,53,2,Feb-27,26.5,3.53,45,0,0
40,O Henry ,SA,3,3,149,125,2,Jan-31,62.5,5.03,74.5,0,0
41,H Hiri ,PNG,7,4,60,56,2,01-Jun,28,5.6,30,0,0
42,RG Holland ,AUS,2,2,126,99,2,Feb-49,49.5,4.71,63,0,0
43,MEK Hussey ,AUS,185,13,240,235,2,Jan-22,117.5,5.87,120,0,0
44,AP Igglesden ,ENG,4,4,168,122,2,02-Dec,61,4.35,84,0,0
45,Irfan Bhatti ,PAK,1,1,48,22,2,Feb-22,11,2.75,24,0,0
46,Jahangir Shah ,BDESH,5,5,234,172,2,Feb-23,86,4.41,117,0,0
47,K Jethi ,CAN,3,3,102,85,2,Feb-39,42.5,5,51,0,0
48,LWS Kaluperuma ,SL,4,4,208,137,2,Jan-35,68.5,3.95,104,0,0
49,SHT Kandamby ,SL,39,9,174,173,2,Feb-37,86.5,5.96,87,0,0
0,CK Kapugedera ,SL,102,10,264,225,2,Jan-24,112.5,5.11,132,0,0
1,VJ Kingma ,NL,3,3,126,107,2,Jan-47,53.5,5.09,63,0,0
2,DB Kotze ,NAM,6,6,282,256,2,Jan-32,128,5.44,141,0,0
3,GJP Kruger ,SA,3,3,138,139,2,Jan-43,69.5,6.04,69,0,0
4,NR Kumar ,CAN,16,2,66,63,2,Feb-40,31.5,5.72,33,0,0
5,AV Lalcheta ,OMAN,2,2,84,62,2,Feb-35,31,4.42,42,0,0
6,Liaqat Ali ,PAK,3,3,188,111,2,Jan-41,55.5,3.54,94,0,0
7,J Louw ,SA,3,3,156,148,2,Jan-45,74,5.69,78,0,0
8,GD McKenzie ,AUS,1,1,60,22,2,Feb-22,11,2.2,30,0,0
9,Mansoor Akhtar ,PAK,41,9,138,110,2,01-Jul,55,4.78,69,0,0
10,GC Martin ,ZIM,5,4,132,95,2,Jan-15,47.5,4.31,66,0,0
11,SC Meaker ,ENG,2,2,114,110,2,Jan-45,55,5.78,57,0,0
12,KP Meiyappan ,UAE,2,2,108,78,2,Feb-39,39,4.33,54,0,0
13,Mohammed Qasim ,UAE,5,3,120,71,2,Jan-13,35.5,3.55,60,0,0
14,Morshed Ali Khan ,BDESH,3,3,138,85,2,Jan-26,42.5,3.69,69,0,0
15,PV Mpitsang ,SA,2,2,60,63,2,Feb-49,31.5,6.3,30,0,0
16,J Mubarak ,SL,40,8,129,95,2,01-Oct,47.5,4.41,64.5,0,0
17,SP Mukherjee ,INDIA,3,3,174,98,2,Jan-30,49,3.37,87,0,0
18,MG Neser ,AUS,2,2,100,120,2,Feb-46,60,7.2,50,0,0
19,IA Nicolson ,ZIM,2,2,72,118,2,Jan-44,59,9.83,36,0,0
20,KJ O'Keeffe ,AUS,2,2,132,79,2,Jan-36,39.5,3.59,66,0,0
21,DR O'Sullivan ,NZ,3,3,168,123,2,Jan-38,61.5,4.39,84,0,0
22,Parvez Rasool ,INDIA,1,1,60,60,2,Feb-60,30,6,30,0,0
23,RR Patel ,KENYA,39,7,168,135,2,Jan-14,67.5,4.82,84,0,0
24,R Pathan ,CAN,1,1,36,50,2,Feb-50,25,8.33,18,0,0
25,J Patraj ,CAN,2,2,90,76,2,Jan-27,38,5.06,45,0,0
26,HSM Pieris ,SL,3,3,132,135,2,Feb-68,67.5,6.13,66,0,0
27,NV Radford ,ENG,6,6,348,230,2,Jan-32,115,3.96,174,0,0
28,P Raho ,PNG,1,1,45,32,2,Feb-32,16,4.26,22.5,0,0
29,WV Raman ,INDIA,27,7,162,170,2,Jan-23,85,6.29,81,0,0
30,AN Ranasinghe ,SL,9,8,324,281,2,Jan-21,140.5,5.2,162,0,0
31,NLK Ratnayake ,SL,2,2,101,98,2,Jan-39,49,5.82,50.5,0,0
32,RA Reifer ,WI,2,2,53,54,2,Feb-23,27,6.11,26.5,0,0
33,GJ Rennie ,ZIM,40,4,90,75,2,Jan-17,37.5,5,45,0,0
34,CEB Rice ,SA,3,3,138,114,2,Jan-46,57,4.95,69,0,0
35,EJ Richardson ,IRE,2,2,66,54,2,Feb-39,27,4.9,33,0,0
36,Rizwan Latif ,UAE,1,1,54,69,2,Feb-69,34.5,7.66,27,0,0
37,Robiul Islam ,BDESH,3,3,133,117,2,Jan-21,58.5,5.27,66.5,0,0
38,LN Roche ,ZIM,3,3,138,157,2,Jan-54,78.5,6.82,69,0,0
39,Rokhan Barakzai ,AFG,1,1,60,45,2,Feb-45,22.5,4.5,30,0,0
40,Saadat Ali ,PAK,8,2,27,29,2,Feb-24,14.5,6.44,13.5,0,0
41,Sadiq Mohammad ,PAK,19,2,38,26,2,Feb-20,13,4.1,19,0,0
42,NA Saini ,INDIA,1,1,60,58,2,Feb-58,29,5.8,30,0,0
43,Sajjad Akbar ,PAK,2,1,60,45,2,Feb-45,22.5,4.5,30,0,0
44,RB Simpson ,AUS,2,2,102,95,2,Feb-30,47.5,5.58,51,0,0
45,CL Smith ,ENG,4,2,36,28,2,02-Aug,14,4.66,18,0,0
46,Sohail Butt ,UAE,2,2,78,79,2,Feb-52,39.5,6.07,39,0,0
47,RW Staple ,USA,2,1,60,76,2,Feb-76,38,7.6,30,0,0
48,PC Strydom ,SA,10,7,252,206,2,Jan-18,103,4.9,126,0,0
49,T Taibu ,Afr/ZIM,150,2,84,61,2,Feb-42,30.5,4.35,42,0,0
0,Tanvir Ahmed ,PAK,2,2,60,83,2,Jan-38,41.5,8.3,30,0,0
1,DC Thomas ,WI,21,1,7,11,2,02-Nov,5.5,9.42,3.5,0,0
2,PIC Thompson ,WI,2,2,114,110,2,Jan-46,55,5.78,57,0,0
3,GP Thorpe ,ENG,82,5,120,97,2,Feb-15,48.5,4.85,60,0,0
4,IJL Trott ,ENG,68,10,183,166,2,Feb-31,83,5.44,91.5,0,0
5,CM Tuckett ,WI,1,1,48,41,2,Feb-41,20.5,5.12,24,0,0
6,M van Jaarsveld ,SA,11,2,31,18,2,1/0,9,3.48,15.5,0,0
7,M Venkataramana ,INDIA,1,1,60,36,2,Feb-36,18,3.6,30,0,0
8,C Viljoen ,NAM,2,2,30,14,2,02-Jun,7,2.8,15,0,0
9,KP Walmsley ,NZ,2,2,120,117,2,Jan-53,58.5,5.85,60,0,0
10,GD Watson ,AUS,2,1,48,28,2,Feb-28,14,3.5,24,0,0
11,DS Wesonga ,KENYA,4,1,42,28,2,Feb-28,14,4,21,0,0
12,RK Whelan ,IRE,2,2,90,99,2,Jan-43,49.5,6.6,45,0,0
13,CM Willoughby ,SA,3,3,168,148,2,Feb-39,74,5.28,84,0,0
14,Yamin Ahmadzai ,AFG,4,4,160,139,2,Jan-23,69.5,5.21,80,0,0
